# Note: the file wasn't downloaded from Wikipedia,
# but it was created based on the information found there

# reference: https://en.wikipedia.org/wiki/LST_1590-4


# characters 0x00-0x7f as in code page 437


0x80	0x20ac              	#EURO SIGN
0xef	0x012f 0x0307 0x0301	#LATIN SMALL LETTER I WITH OGONEK, COMBINING DOT ABOVE, COMBINING ACUTE ACCENT
0xf0	0x0161              	#LATIN SMALL LETTER S WITH CARON
0xf1	0x012f 0x0307 0x0303	#LATIN SMALL LETTER I WITH OGONEK, COMBINING DOT ABOVE, COMBINING TILDE
0xf2	0x00f2              	#LATIN SMALL LETTER O WITH GRAVE
0xf3	0x00f3              	#LATIN SMALL LETTER O WITH ACUTE
0xf4	0x00fd              	#LATIN SMALL LETTER Y WITH ACUTE
0xf5	0x00f5              	#LATIN SMALL LETTER O WITH TILDE
0xf6	0x00f6              	#LATIN SMALL LETTER O WITH DIAERESIS
0xf7	0x0169              	#LATIN SMALL LETTER U WITH TILDE
0xf8	0x0173              	#LATIN SMALL LETTER U WITH OGONEK
0xf9	0x00f9              	#LATIN SMALL LETTER U WITH GRAVE
0xfa	0x00fa              	#LATIN SMALL LETTER U WITH ACUTE
0xfb	0x016b              	#LATIN SMALL LETTER U WITH MACRON
0xfc	0x00fc              	#LATIN SMALL LETTER U WITH DIAERESIS
0xfd	0x1ef9              	#LATIN SMALL LETTER Y WITH TILDE
0xfe	0x017e              	#LATIN SMALL LETTER Z WITH CARON
0xff	0x0173 0x0303       	#LATIN SMALL LETTER U WITH OGONEK, COMBINING TILDE
